                    EX:ALUOp  EX:ALUSrc  EX:Branch  EX:BranchTaken  EX:BranchZero  EX:FwdA  EX:FwdB  EX:Jump  EX:TargetAddrReady  ID:Bubble  ID:ID_EX_Flush  ID:ImmSrc  ID:RegDst  ID:RegWrite  ID:Stall  IF:Flush_IF_ID  IF:IF_ID_Write  IF:PCWrite  IF:PC_src  MEM:FwdC  MEM:MemRead  MEM:MemWrite  WB:MemToReg
EX:ALUOp                   0          0          0               0              1        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
EX:ALUSrc                  1          0          0               0              1        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
EX:Branch                  0          0          0               1              0        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
EX:BranchTaken             0          0          0               0              0        0        0        0                   0          0               1          0          0            0         0               1               0           1          1         0            0             0            0
EX:BranchZero              0          0          0               1              0        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
EX:FwdA                    1          1          0               0              0        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
EX:FwdB                    1          1          0               0              0        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
EX:Jump                    0          0          0               0              0        0        0        0                   0          0               1          0          0            0         0               1               0           0          1         0            0             0            0
EX:TargetAddrReady         0          0          0               0              0        0        0        0                   0          0               0          0          0            0         0               0               0           1          1         0            0             0            0
ID:Bubble                  1          1          0               0              0        0        0        0                   0          0               1          0          0            0         0               0               1           1          0         0            0             0            0
ID:ID_EX_Flush             1          1          1               1              1        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
ID:ImmSrc                  0          1          0               0              0        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
ID:RegDst                  1          1          0               0              0        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
ID:RegWrite                0          0          0               0              0        1        1        0                   0          0               0          0          0            0         0               0               0           0          0         1            0             0            0
ID:Stall                   0          0          0               0              0        0        0        0                   0          1               0          0          0            0         0               0               1           1          0         0            0             0            0
IF:Flush_IF_ID             0          0          0               0              0        0        0        0                   0          1               1          1          1            1         0               0               0           0          0         0            0             0            0
IF:IF_ID_Write             0          0          0               0              0        0        0        0                   0          1               1          1          1            1         0               1               0           0          0         0            0             0            0
IF:PCWrite                 0          0          0               0              0        0        0        0                   0          0               0          0          0            0         0               1               1           0          0         0            0             0            0
IF:PC_src                  1          1          1               0              1        0        0        0                   0          1               1          1          1            1         0               0               0           0          0         0            1             1            1
MEM:FwdC                   0          0          0               0              0        1        1        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
MEM:MemRead                0          0          0               0              0        1        1        0                   0          1               0          0          0            0         0               0               1           1          0         1            0             0            0
MEM:MemWrite               0          0          0               0              0        0        0        0                   0          0               0          0          0            0         0               0               0           0          0         0            0             0            0
WB:MemToReg                0          0          0               0              0        1        1        0                   0          0               0          0          0            1         0               0               0           0          0         0            0             0            0
