Signal,Stage,ASAP,ALAP,Slack,Mobility,FDS_Step,Resource,Critical
Instruction_Decode,IF,0,0,0,1,0,Decoder,YES
Branch,EX,1,5,4,5,1,Decoder,NO
ImmSrc,ID,1,3,2,3,1,Decoder,NO
Jump,EX,1,7,6,7,1,Decoder,NO
MemRead,MEM,1,4,3,4,1,Decoder,NO
MemToReg,WB,1,1,0,1,1,Decoder,YES
MemWrite,MEM,1,8,7,8,1,Decoder,NO
RegDst,ID,1,3,2,3,1,Decoder,NO
RegWrite,ID,2,2,0,1,2,Decoder,YES
FwdA,EX,3,3,0,1,3,Comparator,YES
FwdB,EX,3,3,0,1,3,Comparator,YES
ALUSrc,EX,4,4,0,1,4,Decoder,YES
ALUOp,EX,5,5,0,1,5,Decoder,YES
Bubble,ID,3,6,3,4,5,Logic,NO
Stall,ID,2,5,3,4,5,Logic,NO
BranchZero,EX,6,6,0,1,6,Logic,YES
BranchTaken,EX,7,7,0,1,7,Logic,YES
FwdC,MEM,3,8,5,6,7,Comparator,NO
IF_ID_Write,IF,4,8,4,5,7,Logic,NO
PCWrite,IF,4,7,3,4,7,Logic,NO
TargetAddrReady,?,6,7,1,2,7,Unknown,NO
Flush_IF_ID,IF,8,8,0,1,8,Logic,YES
ID_EX_Flush,ID,8,8,0,1,8,Logic,YES
PC_src,IF,8,8,0,1,8,Mux,YES
